,count,rowname_norwegian,type,circ_norwegian,circ_english,group_1,group_2
aggravating_bebygd område,1,aggravating_bebygd område,aggravating,bebygd område,built-up area,DELETE,
aggravating_kontrollerende opptreden,1,aggravating_kontrollerende opptreden,aggravating,kontrollerende opptreden,controlling behavior,severe,abuse
aggravating_forulemping av offentlig tjenesteperson,1,aggravating_forulemping av offentlig tjenesteperson,aggravating,forulemping av offentlig tjenesteperson,harassment of a public official,violation,official
aggravating_fast forbrytersk forsett over tid,1,aggravating_fast forbrytersk forsett over tid,aggravating,fast forbrytersk forsett over tid,fixed criminal intent over time,severe,intent
aggravating_seksuell omgang på forskjellige steder,1,aggravating_seksuell omgang på forskjellige steder,aggravating,seksuell omgang på forskjellige steder,sexual intercourse in different places,DELETE,
aggravating_manglende bruk av beskyttelse,1,aggravating_manglende bruk av beskyttelse,aggravating,manglende bruk av beskyttelse,failure to use protection,life_health,no_condom
aggravating_grove tyverier,1,aggravating_grove tyverier,aggravating,grove tyverier,aggravated theft,violation,theft
aggravating_alvorlig vold,1,aggravating_alvorlig vold,aggravating,alvorlig vold,serious violence,life_health,violence
aggravating_spesifikt våpen,1,aggravating_spesifikt våpen,aggravating,spesifikt våpen,specific weapon,object,weapon
aggravating_ulovlig inndriving av gjeld,1,aggravating_ulovlig inndriving av gjeld,aggravating,ulovlig inndriving av gjeld,illegal debt collection,violation,fraud
aggravating_forulemping av andre i beruset tilstand,1,aggravating_forulemping av andre i beruset tilstand,aggravating,forulemping av andre i beruset tilstand,Harassment of others while intoxicated,violation,harassment
aggravating_herjing og ødeleggelse av fornærmedes bolig,1,aggravating_herjing og ødeleggelse av fornærmedes bolig,aggravating,herjing og ødeleggelse av fornærmedes bolig,vandalism and destruction of the victim's home,place,private
aggravating_gjentatte og krenkende henvendelser,1,aggravating_gjentatte og krenkende henvendelser,aggravating,gjentatte og krenkende henvendelser,repeated and abusive inquiries,severe,abuse
aggravating_høy gjennomsnittshastighet,1,aggravating_høy gjennomsnittshastighet,aggravating,høy gjennomsnittshastighet,high average speed,driving,speed
aggravating_ran med planmessig preg,1,aggravating_ran med planmessig preg,aggravating,ran med planmessig preg,robbery with a planned character,premeditated,
aggravating_ikke tatt lærdom av tidligere domfellelse,1,aggravating_ikke tatt lærdom av tidligere domfellelse,aggravating,ikke tatt lærdom av tidligere domfellelse,not learned from previous conviction,repeated_offense,
aggravating_planmessige og utspekulerte tyverier,1,aggravating_planmessige og utspekulerte tyverier,aggravating,planmessige og utspekulerte tyverier,planned and cunning thefts,premeditated,
aggravating_antall timer,1,aggravating_antall timer,aggravating,antall timer,number of hours,DELETE,
aggravating_fartsoverskridelser,1,aggravating_fartsoverskridelser,aggravating,fartsoverskridelser,speeding,driving,speed
aggravating_langvarig,1,aggravating_langvarig,aggravating,langvarig,long lasting,severe,long_time
aggravating_utnyttelse av ressurssvake,1,aggravating_utnyttelse av ressurssvake,aggravating,utnyttelse av ressurssvake,utilization of weak resources,DELETE,
aggravating_betydelig trafikk,1,aggravating_betydelig trafikk,aggravating,betydelig trafikk,significant traffic,DELETE,
aggravating_deling av materiale,1,aggravating_deling av materiale,aggravating,deling av materiale,sharing of material,DELETE,
aggravating_passasjerer til stede,1,aggravating_passasjerer til stede,aggravating,passasjerer til stede,passengers present,driving,passengers
aggravating_kjøring over lengre strekninger,1,aggravating_kjøring over lengre strekninger,aggravating,kjøring over lengre strekninger,driving over longer distances,driving,distance
aggravating_avhengighetsforhold,1,aggravating_avhengighetsforhold,aggravating,avhengighetsforhold,dependency relationship,trust,
aggravating_bæring av sag på offentlig sted,1,aggravating_bæring av sag på offentlig sted,aggravating,bæring av sag på offentlig sted,carrying saw in a public place,object,weapon
aggravating_unnlatt å stanse for politiet,1,aggravating_unnlatt å stanse for politiet,aggravating,unnlatt å stanse for politiet,failed to stop for the police,driving,failed_to_stop
aggravating_særlig høye konsentrasjoner av alkohol over 2 i promille,1,aggravating_særlig høye konsentrasjoner av alkohol over 2 i promille,aggravating,særlig høye konsentrasjoner av alkohol over 2 i promille,particularly high concentrations of alcohol above 2 parts per thousand,intoxication,
aggravating_kjøring i Oslo sentrum,1,aggravating_kjøring i Oslo sentrum,aggravating,kjøring i Oslo sentrum,driving in central Oslo,driving,busy
aggravating_ulovlig parkering foran lekeplass,1,aggravating_ulovlig parkering foran lekeplass,aggravating,ulovlig parkering foran lekeplass,illegal parking in front of the playground,driving,illegal_parking
aggravating_antall overtredelser av vegtrafikkloven § 24,1,aggravating_antall overtredelser av vegtrafikkloven § 24,aggravating,antall overtredelser av vegtrafikkloven § 24,number of violations of the Road Traffic Act § 24,violation,road_traffic_act
aggravating_ansvar for øvelseskjøring,1,aggravating_ansvar for øvelseskjøring,aggravating,ansvar for øvelseskjøring,responsibility for practice driving,DELETE,
aggravating_forholdene fant sted innenfor en kort periode,1,aggravating_forholdene fant sted innenfor en kort periode,aggravating,forholdene fant sted innenfor en kort periode,the conditions took place within a short period of time,DELETE,
aggravating_grovt skadeverk,1,aggravating_grovt skadeverk,aggravating,grovt skadeverk,serious damage,severe,damage
aggravating_diskriminerende utsagn,1,aggravating_diskriminerende utsagn,aggravating,diskriminerende utsagn,discriminatory statements,hate_crime,
aggravating_intens pågang over tid,1,aggravating_intens pågang over tid,aggravating,intens pågang over tid,intense onset over time,DELETE,
aggravating_forledelse med løfte om penger,1,aggravating_forledelse med løfte om penger,aggravating,forledelse med løfte om penger,leading with the promise of money,DELETE,
aggravating_lagret bilder uten samtykke,1,aggravating_lagret bilder uten samtykke,aggravating,lagret bilder uten samtykke,stored images without consent,violation,filming
aggravating_tidligere straffet for voldsforbrytelser,1,aggravating_tidligere straffet for voldsforbrytelser,aggravating,tidligere straffet for voldsforbrytelser,previously punished for violent crimes,repeated_offense,
aggravating_overgrepene har funnet sted hjemme hos fornærmede,1,aggravating_overgrepene har funnet sted hjemme hos fornærmede,aggravating,overgrepene har funnet sted hjemme hos fornærmede,the assaults took place at the victim's home,place,private
aggravating_særlig nedverdigende og krenkende,1,aggravating_særlig nedverdigende og krenkende,aggravating,særlig nedverdigende og krenkende,particularly degrading and offensive,severe,abuse
aggravating_smitterisiko,1,aggravating_smitterisiko,aggravating,smitterisiko,infection risk,life_health,
aggravating_bæring av kniver,1,aggravating_bæring av kniver,aggravating,bæring av kniver,carrying knives,object,knife
aggravating_unndragelsens lengde,1,aggravating_unndragelsens lengde,aggravating,unndragelsens lengde,the length of the evasion,violation,evasion
aggravating_aggressive konfrontasjoner,1,aggravating_aggressive konfrontasjoner,aggravating,aggressive konfrontasjoner,aggressive confrontations,severe,aggressive
aggravating_familiemessig tilknytning,1,aggravating_familiemessig tilknytning,aggravating,familiemessig tilknytning,family connection,victim,relationship
aggravating_krenkende karakter,1,aggravating_krenkende karakter,aggravating,krenkende karakter,offensive character,DELETE,
aggravating_krenkende innhold,1,aggravating_krenkende innhold,aggravating,krenkende innhold,offensive content,DELETE,
aggravating_omfang av kontakt,1,aggravating_omfang av kontakt,aggravating,omfang av kontakt,extent of contact,DELETE,
aggravating_manglende samtykke,1,aggravating_manglende samtykke,aggravating,manglende samtykke,lack of consent,violation,lack_of_consent
aggravating_fornærmede identifiserbar,1,aggravating_fornærmede identifiserbar,aggravating,fornærmede identifiserbar,victim identifiable,violation,privacy
aggravating_rasistisk motivert kroppskrenkelse,1,aggravating_rasistisk motivert kroppskrenkelse,aggravating,rasistisk motivert kroppskrenkelse,racially motivated bodily harm,hate_crime,
aggravating_rasistisk motivert,1,aggravating_rasistisk motivert,aggravating,rasistisk motivert,racially motivated,hate_crime,
aggravating_voldens art og alvorlighet,1,aggravating_voldens art og alvorlighet,aggravating,voldens art og alvorlighet,the nature and severity of the violence,life_health,violence
aggravating_underslag av store summer,1,aggravating_underslag av store summer,aggravating,underslag av store summer,embezzlement of large sums,violation,fraud
aggravating_bruk av fagkunnskap,1,aggravating_bruk av fagkunnskap,aggravating,bruk av fagkunnskap,use of specialist knowledge,DELETE,
aggravating_hjelp ikke ytt,1,aggravating_hjelp ikke ytt,aggravating,hjelp ikke ytt,don't help ytt,DELETE,
aggravating_forstyrret den alminnelige fred og orden,1,aggravating_forstyrret den alminnelige fred og orden,aggravating,forstyrret den alminnelige fred og orden,disturbed the general peace and order,violation,disorderly
aggravating_besittelse av store mengder kontanter,1,aggravating_besittelse av store mengder kontanter,aggravating,besittelse av store mengder kontanter,possession of large amounts of cash,DELETE,
aggravating_behandling av stoffet,1,aggravating_behandling av stoffet,aggravating,behandling av stoffet,treatment of the substance,DELETE,
aggravating_planmessig ved at hun raskt benyttet de stjålne bankkortene,1,aggravating_planmessig ved at hun raskt benyttet de stjålne bankkortene,aggravating,planmessig ved at hun raskt benyttet de stjålne bankkortene,planned in that she quickly used the stolen bank cards,premeditated,
aggravating_motarbeiding av rettsvesenet,1,aggravating_motarbeiding av rettsvesenet,aggravating,motarbeiding av rettsvesenet,opposition to the judiciary,DELETE,
aggravating_ulovlig besittelse av pistoler og ammunisjon,1,aggravating_ulovlig besittelse av pistoler og ammunisjon,aggravating,ulovlig besittelse av pistoler og ammunisjon,illegal possession of pistols and ammunition,violation,weapon_possession
aggravating_uregistrert våpen,1,aggravating_uregistrert våpen,aggravating,uregistrert våpen,unregistered weapon,violation,weapon_possession
aggravating_alvorlige narkotikaforbrytelser,1,aggravating_alvorlige narkotikaforbrytelser,aggravating,alvorlige narkotikaforbrytelser,serious drug crimes,drugs,
aggravating_barn våpen på offentlig sted,1,aggravating_barn våpen på offentlig sted,aggravating,barn våpen på offentlig sted,children weapons in public places,DELETE,
aggravating_tidligere utøvet vold,1,aggravating_tidligere utøvet vold,aggravating,tidligere utøvet vold,previously committed violence,repeated_offense,
aggravating_grove overgrep mot egen datter,1,aggravating_grove overgrep mot egen datter,aggravating,grove overgrep mot egen datter,gross abuse against own daughter,victim,relationship
aggravating_forsøk på ran,1,aggravating_forsøk på ran,aggravating,forsøk på ran,attempted robbery,violation,robbery
aggravating_kjørelengde,1,aggravating_kjørelengde,aggravating,kjørelengde,mileage,DELETE,
aggravating_øvrige overtredelser,1,aggravating_øvrige overtredelser,aggravating,øvrige overtredelser,other violations,other,
aggravating_fortsatte volden til tross for at han klart hadde overtaket,1,aggravating_fortsatte volden til tross for at han klart hadde overtaket,aggravating,fortsatte volden til tross for at han klart hadde overtaket,continued the violence despite clearly having the upper hand,victim,power
aggravating_bruk av falske profiler,1,aggravating_bruk av falske profiler,aggravating,bruk av falske profiler,use of fake profiles,violation,identification
aggravating_alvorlig tillitsbrudd,1,aggravating_alvorlig tillitsbrudd,aggravating,alvorlig tillitsbrudd,serious breach of trust,trust,
aggravating_spredningsfaren,1,aggravating_spredningsfaren,aggravating,spredningsfaren,the spread hazard,DELETE,
