"","count","rowname_norwegian","type","circ_norwegian"
"aggravating_trusler om bortføring av barna",1,"aggravating_trusler om bortføring av barna","aggravating","trusler om bortføring av barna"
"aggravating_voldshandlinger",1,"aggravating_voldshandlinger","aggravating","voldshandlinger"
"aggravating_bruk av masker",1,"aggravating_bruk av masker","aggravating","bruk av masker"
"aggravating_fornærmedes kjæreste var til stede",1,"aggravating_fornærmedes kjæreste var til stede","aggravating","fornærmedes kjæreste var til stede"
"aggravating_ranet ble begått av tre personer",1,"aggravating_ranet ble begått av tre personer","aggravating","ranet ble begått av tre personer"
"aggravating_fornærmede skal kunne føle seg trygg",1,"aggravating_fornærmede skal kunne føle seg trygg","aggravating","fornærmede skal kunne føle seg trygg"
"aggravating_fornærmedes hjem",1,"aggravating_fornærmedes hjem","aggravating","fornærmedes hjem"
"aggravating_oftest i fornærmedes hjem eller når tiltalte ble invitert med fornærmedes familie på tur",1,"aggravating_oftest i fornærmedes hjem eller når tiltalte ble invitert med fornærmedes familie på tur","aggravating","oftest i fornærmedes hjem eller når tiltalte ble invitert med fornærmedes familie på tur"
"aggravating_handlingene skjedde mange ganger over flere år",1,"aggravating_handlingene skjedde mange ganger over flere år","aggravating","handlingene skjedde mange ganger over flere år"
"aggravating_forulemping ved vold",1,"aggravating_forulemping ved vold","aggravating","forulemping ved vold"
"aggravating_passasjer til stede",1,"aggravating_passasjer til stede","aggravating","passasjer til stede"
"aggravating_utgi seg for å være politi",1,"aggravating_utgi seg for å være politi","aggravating","utgi seg for å være politi"
"aggravating_våpen og ammunisjon",1,"aggravating_våpen og ammunisjon","aggravating","våpen og ammunisjon"
"aggravating_store materielle skader",1,"aggravating_store materielle skader","aggravating","store materielle skader"
"aggravating_farefull kjøring",1,"aggravating_farefull kjøring","aggravating","farefull kjøring"
"aggravating_psykiske krenkelser",1,"aggravating_psykiske krenkelser","aggravating","psykiske krenkelser"
"aggravating_kjøring i prøvetiden",1,"aggravating_kjøring i prøvetiden","aggravating","kjøring i prøvetiden"
"aggravating_total ignorering av veitrafikklovgivningen",1,"aggravating_total ignorering av veitrafikklovgivningen","aggravating","total ignorering av veitrafikklovgivningen"
"aggravating_grovt uaktsomt bedrageri",1,"aggravating_grovt uaktsomt bedrageri","aggravating","grovt uaktsomt bedrageri"
"aggravating_samme fornærmet",1,"aggravating_samme fornærmet","aggravating","samme fornærmet"
"aggravating_bedrageri mot privatpersoner",1,"aggravating_bedrageri mot privatpersoner","aggravating","bedrageri mot privatpersoner"
"aggravating_tilvirkning",1,"aggravating_tilvirkning","aggravating","tilvirkning"
"aggravating_betydelig objektiv spredningsfare",1,"aggravating_betydelig objektiv spredningsfare","aggravating","betydelig objektiv spredningsfare"
"aggravating_passasjer på mopeden",1,"aggravating_passasjer på mopeden","aggravating","passasjer på mopeden"
"aggravating_stor skadepotensiale",1,"aggravating_stor skadepotensiale","aggravating","stor skadepotensiale"
"aggravating_særlig høye konsentrasjoner av alkohol i blodet",1,"aggravating_særlig høye konsentrasjoner av alkohol i blodet","aggravating","særlig høye konsentrasjoner av alkohol i blodet"
"aggravating_passasjer om bord",1,"aggravating_passasjer om bord","aggravating","passasjer om bord"
"aggravating_seksuell omgang med barn under 14 år",1,"aggravating_seksuell omgang med barn under 14 år","aggravating","seksuell omgang med barn under 14 år"
"aggravating_seksuell omgang med slektning i nedstigende linje",1,"aggravating_seksuell omgang med slektning i nedstigende linje","aggravating","seksuell omgang med slektning i nedstigende linje"
"aggravating_mønster i handlinger",1,"aggravating_mønster i handlinger","aggravating","mønster i handlinger"
"aggravating_grad av påvirkning",1,"aggravating_grad av påvirkning","aggravating","grad av påvirkning"
"aggravating_konkrete forhold ved kjøringen",1,"aggravating_konkrete forhold ved kjøringen","aggravating","konkrete forhold ved kjøringen"
"aggravating_den uriktige forklaringen i tiltalens post II",1,"aggravating_den uriktige forklaringen i tiltalens post II","aggravating","den uriktige forklaringen i tiltalens post II"
"aggravating_vold eller trusler mot politiet",1,"aggravating_vold eller trusler mot politiet","aggravating","vold eller trusler mot politiet"
"aggravating_alkoholinntak med kjent risiko for aggresjon",1,"aggravating_alkoholinntak med kjent risiko for aggresjon","aggravating","alkoholinntak med kjent risiko for aggresjon"
"aggravating_tillit",1,"aggravating_tillit","aggravating","tillit"
"aggravating_forlot stedet etter ulykken",1,"aggravating_forlot stedet etter ulykken","aggravating","forlot stedet etter ulykken"
"aggravating_profesjonelt preg",1,"aggravating_profesjonelt preg","aggravating","profesjonelt preg"
"aggravating_flere tilfeller av forsikringssvindel",1,"aggravating_flere tilfeller av forsikringssvindel","aggravating","flere tilfeller av forsikringssvindel"
"aggravating_oppbevaring og bruk av narkotika",1,"aggravating_oppbevaring og bruk av narkotika","aggravating","oppbevaring og bruk av narkotika"
"aggravating_forlot fornærmede i en hjelpeløs tilstand",1,"aggravating_forlot fornærmede i en hjelpeløs tilstand","aggravating","forlot fornærmede i en hjelpeløs tilstand"
"aggravating_høye konsentrasjoner av alkohol",1,"aggravating_høye konsentrasjoner av alkohol","aggravating","høye konsentrasjoner av alkohol"
"aggravating_lange kjørestrekninger",1,"aggravating_lange kjørestrekninger","aggravating","lange kjørestrekninger"
"aggravating_ulykke",1,"aggravating_ulykke","aggravating","ulykke"
"aggravating_familievold",1,"aggravating_familievold","aggravating","familievold"
"aggravating_overlevering av narkotika",1,"aggravating_overlevering av narkotika","aggravating","overlevering av narkotika"
"aggravating_planlagt overgrep",1,"aggravating_planlagt overgrep","aggravating","planlagt overgrep"
"aggravating_presset og manipulert de fornærmede",1,"aggravating_presset og manipulert de fornærmede","aggravating","presset og manipulert de fornærmede"
"aggravating_uforsvarlig høy hastighet",1,"aggravating_uforsvarlig høy hastighet","aggravating","uforsvarlig høy hastighet"
"aggravating_forbikjøring på sted med gul varsellinje",1,"aggravating_forbikjøring på sted med gul varsellinje","aggravating","forbikjøring på sted med gul varsellinje"
"aggravating_høy promillekjøring",1,"aggravating_høy promillekjøring","aggravating","høy promillekjøring"
"aggravating_kjøring over fartsgrensen",1,"aggravating_kjøring over fartsgrensen","aggravating","kjøring over fartsgrensen"
"aggravating_unnlatt stansing for politikontroll",1,"aggravating_unnlatt stansing for politikontroll","aggravating","unnlatt stansing for politikontroll"
"aggravating_manglende forsikring av bil",1,"aggravating_manglende forsikring av bil","aggravating","manglende forsikring av bil"
"aggravating_oppsøkte fornærmedes bolig",1,"aggravating_oppsøkte fornærmedes bolig","aggravating","oppsøkte fornærmedes bolig"
"aggravating_gjentatte meldinger over lenger tid",1,"aggravating_gjentatte meldinger over lenger tid","aggravating","gjentatte meldinger over lenger tid"
"aggravating_hevn",1,"aggravating_hevn","aggravating","hevn"
"aggravating_psykiske påkjenninger for fornærmede",1,"aggravating_psykiske påkjenninger for fornærmede","aggravating","psykiske påkjenninger for fornærmede"
"aggravating_sterkt vedvarende forsett",1,"aggravating_sterkt vedvarende forsett","aggravating","sterkt vedvarende forsett"
"aggravating_seksuell omgang likestilt med samleie",1,"aggravating_seksuell omgang likestilt med samleie","aggravating","seksuell omgang likestilt med samleie"
"aggravating_avhengighetsforhold til lovbryteren",1,"aggravating_avhengighetsforhold til lovbryteren","aggravating","avhengighetsforhold til lovbryteren"
"aggravating_personer i en meget vanskelig livssituasjon",1,"aggravating_personer i en meget vanskelig livssituasjon","aggravating","personer i en meget vanskelig livssituasjon"
"aggravating_misbruk av overmaktsforhold",1,"aggravating_misbruk av overmaktsforhold","aggravating","misbruk av overmaktsforhold"
"aggravating_utnyttet eller forledet unge personer",1,"aggravating_utnyttet eller forledet unge personer","aggravating","utnyttet eller forledet unge personer"
"aggravating_mindre skadeverk",1,"aggravating_mindre skadeverk","aggravating","mindre skadeverk"
"aggravating_seksuell utnyttelse",1,"aggravating_seksuell utnyttelse","aggravating","seksuell utnyttelse"
"aggravating_smitterisiko ved sykdom",1,"aggravating_smitterisiko ved sykdom","aggravating","smitterisiko ved sykdom"
"aggravating_stjålne kjøretøy",1,"aggravating_stjålne kjøretøy","aggravating","stjålne kjøretøy"
"aggravating_bruk av skytevåpen",1,"aggravating_bruk av skytevåpen","aggravating","bruk av skytevåpen"
"aggravating_forulemping av politibetjenten",1,"aggravating_forulemping av politibetjenten","aggravating","forulemping av politibetjenten"
"aggravating_i det offentlige rom",1,"aggravating_i det offentlige rom","aggravating","i det offentlige rom"
"aggravating_misbruk av andres identitet",1,"aggravating_misbruk av andres identitet","aggravating","misbruk av andres identitet"
"aggravating_sterkt trafikkerte strøk",1,"aggravating_sterkt trafikkerte strøk","aggravating","sterkt trafikkerte strøk"
"aggravating_lang strekning",1,"aggravating_lang strekning","aggravating","lang strekning"
"aggravating_oppbevaring av hasj",1,"aggravating_oppbevaring av hasj","aggravating","oppbevaring av hasj"
"aggravating_vold og forulemping av offentlig tjenestemann",1,"aggravating_vold og forulemping av offentlig tjenestemann","aggravating","vold og forulemping av offentlig tjenestemann"
"aggravating_mer omfattende og brutal voldsutøvelse",1,"aggravating_mer omfattende og brutal voldsutøvelse","aggravating","mer omfattende og brutal voldsutøvelse"
"aggravating_alkoholpåvirkning",1,"aggravating_alkoholpåvirkning","aggravating","alkoholpåvirkning"
"aggravating_stor fare for omgivelsene",1,"aggravating_stor fare for omgivelsene","aggravating","stor fare for omgivelsene"
"aggravating_ikke stoppet for politiet",1,"aggravating_ikke stoppet for politiet","aggravating","ikke stoppet for politiet"
"aggravating_særlig høy promille",1,"aggravating_særlig høy promille","aggravating","særlig høy promille"
"aggravating_særlig høye konsentrasjoner av alkohol over 2 promille i blodet",1,"aggravating_særlig høye konsentrasjoner av alkohol over 2 promille i blodet","aggravating","særlig høye konsentrasjoner av alkohol over 2 promille i blodet"
"aggravating_særlig farlige",1,"aggravating_særlig farlige","aggravating","særlig farlige"
"aggravating_overgrepene skjedde i hjemmet",1,"aggravating_overgrepene skjedde i hjemmet","aggravating","overgrepene skjedde i hjemmet"
"aggravating_angst og søvnproblemer",1,"aggravating_angst og søvnproblemer","aggravating","angst og søvnproblemer"
"aggravating_fornærmede har medført stor utrygghet",1,"aggravating_fornærmede har medført stor utrygghet","aggravating","fornærmede har medført stor utrygghet"
"aggravating_fornærmede var særlig sårbar",1,"aggravating_fornærmede var særlig sårbar","aggravating","fornærmede var særlig sårbar"
"aggravating_tiltalte er fornærmedes stefar",1,"aggravating_tiltalte er fornærmedes stefar","aggravating","tiltalte er fornærmedes stefar"
"aggravating_seksualisert omtale",1,"aggravating_seksualisert omtale","aggravating","seksualisert omtale"
"aggravating_påfallende atferd",1,"aggravating_påfallende atferd","aggravating","påfallende atferd"
"aggravating_familiær relasjon",1,"aggravating_familiær relasjon","aggravating","familiær relasjon"
"aggravating_kjøring uten gyldige kjennemerker",1,"aggravating_kjøring uten gyldige kjennemerker","aggravating","kjøring uten gyldige kjennemerker"
"aggravating_unnlot å stoppe for kontroll",1,"aggravating_unnlot å stoppe for kontroll","aggravating","unnlot å stoppe for kontroll"
"aggravating_trafikkulykke",1,"aggravating_trafikkulykke","aggravating","trafikkulykke"
"aggravating_tidligere overtredelse",1,"aggravating_tidligere overtredelse","aggravating","tidligere overtredelse"
"aggravating_kjøring over lange strekninger",1,"aggravating_kjøring over lange strekninger","aggravating","kjøring over lange strekninger"
"aggravating_alvorlig voldsutøvelse",1,"aggravating_alvorlig voldsutøvelse","aggravating","alvorlig voldsutøvelse"
"aggravating_sadistiske og seksuelle elementer",1,"aggravating_sadistiske og seksuelle elementer","aggravating","sadistiske og seksuelle elementer"
"aggravating_inntak av rusmidler uten lovlig adkomst",1,"aggravating_inntak av rusmidler uten lovlig adkomst","aggravating","inntak av rusmidler uten lovlig adkomst"
"aggravating_forsettlig overtredelse",1,"aggravating_forsettlig overtredelse","aggravating","forsettlig overtredelse"
"aggravating_allmennprevensjon",1,"aggravating_allmennprevensjon","aggravating","allmennprevensjon"
"aggravating_sårbar hund",1,"aggravating_sårbar hund","aggravating","sårbar hund"
"aggravating_oppbevaring og besittelse av narkotika",1,"aggravating_oppbevaring og besittelse av narkotika","aggravating","oppbevaring og besittelse av narkotika"
"aggravating_betydelig belastning for polititjenestepersoner",1,"aggravating_betydelig belastning for polititjenestepersoner","aggravating","betydelig belastning for polititjenestepersoner"
"aggravating_betydelig samfunnsproblem",1,"aggravating_betydelig samfunnsproblem","aggravating","betydelig samfunnsproblem"
"aggravating_stort farepotensiale",1,"aggravating_stort farepotensiale","aggravating","stort farepotensiale"
